"Unlock your Google Shopping performance with the most powerful automation solution","Massimizza le tue performance Google Shopping con la più efficace tra le soluzioni di automazione"
"Forgot your password?","Password dimenticata?"
"Password","Password"
"Please enter your email address:","Inserisci il tuo indirizzo e-mail:"
"Submit","Conferma"
"Telephone","Telefono"
"Your site URL","URL del tuo sito"
"Name","Nome"
"Surname","Cognome"
"Email address","E-mail"
"Twenga Solutions username (your email)","Login Twenga Solutions (indirizzo email):"
"Twenga Solutions password","Password Twenga Solutions"
"Install Twenga Solutions","Installare Twenga Solutions"
"Create your account","Crea il tuo account"
"Step 1: Configure your account","Passaggio 1: Configura il tuo account"
"Step 2: Finalise your Twenga Solutions module installation","Passaggio 2: Completa l'installazione del modulo Twenga Solutions"
"I already have a Twenga Solutions account","Possiedo già un account Twenga Solutions"
"I don't have a Twenga Solutions account","Non possiedo un account Twenga Solutions"
"You already have a Twenga Solutions account. Please fill in the fields below.","Possiedi già un account Twenga Solutions. Ti invitiamo a riempire i campi qui sotto."
"You do not have a Twenga Solutions account. Please fill in the fields below in order to begin your subscription.","Non possiedi un account Twenga Solutions. Ti invitiamo a riempire i campi qui sotto per iniziare la tua iscrizione."
"Warning: We have now taken your request into account. In order to benefit from our services you must finalise your subscription.","Attenzione : Stiamo considerando la tua domanda. Per poter beneficiare dei nostri servizi occorre completare la tua iscrizione."
"Finalise your subscription","Completa la tua iscrizione"
"Congratulations you have now installed Twenga Tracking!","Congratulazioni hai installato il Tracking Twenga !"
"With Twenga Tracking:","Con il Tracking Twenga:"
"I can measure the quality of my traffic by following my conversion rates and acquisition costs per category.","Misuro la qualità del mio traffico seguendo i miei tassi di conversione ed i miei costi acquisizione per categoria."
"I can optimise my budget by prioritising the highest performing offers thanks to Twenga's automatic settings.","Ottimizzo il mio budget privilegiando le offerte più performanti grazie alle regole automatiche Twenga."
"I can secure my performance thanks to proactive monitoring and recommendations from the Twenga teams.","Assicuro le mie performance grazie all'analisi proattiva e alle raccomandazioni del team Twenga."
"Continue to your interface","Accedi all'interfaccia"
"Benefit from a complete range of marketing and analytics tools with your Twenga Solutions account","Grazie al tuo account Twenga Solutions potrai godere di un'intera gamma di strumenti marketing e analitici."
"Step:","Passaggio:"
"Clients:","Clienti:"
"Our clients","Sono già nostri partner"
"If you have already installed the module on your website, please go to your Twenga Solutions interface.","Hai già installato il modulo sul tuo sito, ti invitiamo ad accedere alla tua interfaccia Twenga Solutions."
"Close","Vicino"
"Authentication failed","Autenticazione fallita"
"Enable","Consentire"
"Connect with success","Collegato con successo"
